"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.283339819E1,-1.084875017E-1,7.672499865E-2,1.296212435E0,1.303005349E0
4.283538627E1,-9.157499671E-2,8.208750188E-2,1.284525037E0,1.290398740E0
4.283737457E1,-7.232499868E-2,8.731249720E-2,1.272837520E0,1.277877040E0
4.283936281E1,-5.417500064E-2,9.583749622E-2,1.262112498E0,1.266904777E0
4.284135088E1,-3.506249934E-2,1.054624990E-1,1.253587484E0,1.258504390E0
4.284333911E1,-1.484999992E-2,1.161874980E-1,1.246162534E0,1.251655351E0
4.284532719E1,5.362499971E-3,1.278750002E-1,1.240800023E0,1.247383449E0
4.284731550E1,2.571249940E-2,1.384624988E-1,1.236537457E0,1.244531188E0
4.284930351E1,4.482499883E-2,1.480875015E-1,1.233374953E0,1.243041819E0
4.285129182E1,6.077500060E-2,1.619749963E-1,1.232275009E0,1.244359754E0
4.285327982E1,7.576250285E-2,1.768250018E-1,1.232275009E0,1.247200359E0
4.285526813E1,8.964999765E-2,1.907124966E-1,1.235574961E0,1.253416875E0
4.285725636E1,1.002374962E-1,2.055625021E-1,1.240800023E0,1.261700517E0
4.285924444E1,1.098624989E-1,2.194499969E-1,1.247262478E0,1.271177312E0
4.286123266E1,1.161874980E-1,2.322375029E-1,1.255787492E0,1.282355652E0
4.286322074E1,1.193500012E-1,2.439250052E-1,1.267475009E0,1.296239457E0
4.286520897E1,1.204499975E-1,2.567124963E-1,1.279162526E0,1.310216118E0
4.286719728E1,1.193500012E-1,2.641375065E-1,1.293050051E0,1.325138287E0
4.286918536E1,1.141249985E-1,2.674374878E-1,1.307899952E0,1.339831933E0
4.287117358E1,1.065625027E-1,2.684000134E-1,1.323987484E0,1.355115121E0
4.287316166E1,9.817499667E-2,2.674374878E-1,1.337737441E0,1.367736305E0
4.287514989E1,8.635000139E-2,2.620750070E-1,1.351624966E0,1.379503418E0
4.287713797E1,7.466249913E-2,2.546499968E-1,1.365512490E0,1.391059118E0
4.287912620E1,6.187500060E-2,2.450249940E-1,1.377200007E0,1.400194852E0
4.288111451E1,4.798749834E-2,2.311374992E-1,1.386824965E0,1.406773197E0
4.288310259E1,3.519999981E-2,2.173874974E-1,1.394250035E0,1.411534458E0
4.288509082E1,2.144999988E-2,2.046000063E-1,1.398512483E0,1.413562319E0
4.288707889E1,8.662499487E-3,1.918125004E-1,1.400575042E0,1.413675183E0
4.288906712E1,-9.624999948E-4,1.799875051E-1,1.400575042E0,1.412093083E0
4.289105520E1,-8.387500420E-3,1.714625061E-1,1.398512483E0,1.409009193E0
4.289304343E1,-1.581249945E-2,1.651374996E-1,1.395349979E0,1.405176855E0
4.289503151E1,-2.117500082E-2,1.608749926E-1,1.388887525E0,1.398333901E0
4.289701983E1,-2.543750033E-2,1.577125043E-1,1.382562518E0,1.391761264E0
4.289900784E1,-2.763750032E-2,1.566125005E-1,1.375137448E0,1.384302824E0
4.290099614E1,-2.859999985E-2,1.566125005E-1,1.365512490E0,1.374761724E0
4.290298437E1,-2.859999985E-2,1.555124968E-1,1.355887532E0,1.365076224E0
4.290497245E1,-2.859999985E-2,1.534499973E-1,1.346262455E0,1.355281321E0
4.290696068E1,-2.969999984E-2,1.512500048E-1,1.336774945E0,1.345632159E0
4.290894877E1,-3.079999983E-2,1.502874941E-1,1.326050043E0,1.334894635E0
4.291093700E1,-3.079999983E-2,1.469874978E-1,1.316424966E0,1.324963643E0
