"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.282861480E-1,3.795000166E-2,-1.920000017E-1,1.006605053E1,1.006795299E1
5.302733090E-1,4.305000231E-2,-1.939500123E-1,1.005600071E1,1.005796302E1
5.322603860E-1,5.295000225E-2,-1.849500090E-1,1.007595062E1,1.007778702E1
5.342477690E-1,3.795000166E-2,-2.110500038E-1,1.007595062E1,1.007823215E1
5.362350760E-1,4.500000179E-2,-2.179500163E-1,1.006605053E1,1.006851034E1
5.382224610E-1,4.500000179E-2,-2.010000050E-1,1.005900002E1,1.006110865E1
5.402099220E-1,5.295000225E-2,-1.729500145E-1,1.007295036E1,1.007457416E1
5.421972270E-1,4.995000362E-2,-1.969500035E-1,1.006800079E1,1.007005086E1
5.441846100E-1,3.105000220E-2,-1.939500123E-1,1.007805061E1,1.007996453E1
5.461720710E-1,2.595000155E-2,-1.890000105E-1,1.007595062E1,1.007775646E1
5.481596870E-1,4.500000179E-2,-2.059500068E-1,1.007805061E1,1.008025518E1
5.501470730E-1,4.305000231E-2,-1.870500147E-1,1.008000088E1,1.008182814E1
5.521342270E-1,3.105000220E-2,-1.870500147E-1,1.006395054E1,1.006573655E1
5.541215580E-1,2.400000021E-2,-1.750500053E-1,1.005900002E1,1.006055167E1
5.561089420E-1,3.405000269E-2,-1.920000017E-1,1.006395054E1,1.006583945E1
5.580963270E-1,1.905000024E-2,-1.969500035E-1,1.005900002E1,1.006094596E1
5.600834830E-1,2.895000204E-2,-1.920000017E-1,1.005195045E1,1.005382564E1
5.620707890E-1,2.895000204E-2,-2.130000144E-1,1.006095028E1,1.006324638E1
5.640579440E-1,2.595000155E-2,-1.939500123E-1,1.007595062E1,1.007785051E1
5.660452740E-1,2.595000155E-2,-1.939500123E-1,1.007100010E1,1.007290092E1
5.680326590E-1,1.905000024E-2,-1.969500035E-1,1.008300018E1,1.008494149E1
5.700200430E-1,2.400000021E-2,-1.939500123E-1,1.006395054E1,1.006584786E1
5.720071990E-1,2.400000021E-2,-1.920000017E-1,1.007805061E1,1.007990794E1
5.739945050E-1,1.695000008E-2,-1.819500029E-1,1.004505062E1,1.004671265E1
5.759818900E-1,1.395000052E-2,-1.890000105E-1,1.006095028E1,1.006273502E1
5.779690550E-1,1.005000062E-2,-1.729500145E-1,1.006095028E1,1.006244171E1
5.799563610E-1,2.595000155E-2,-1.819500029E-1,1.007100010E1,1.007267701E1
5.819437460E-1,1.905000024E-2,-1.969500035E-1,1.003500080E1,1.003695139E1
5.839308250E-1,2.595000155E-2,-1.990500093E-1,1.008000088E1,1.008199940E1
5.859179020E-1,1.005000062E-2,-1.920000017E-1,1.007100010E1,1.007283515E1
5.879052840E-1,1.395000052E-2,-1.939500123E-1,1.007295036E1,1.007482706E1
5.898924110E-1,2.205000073E-2,-1.990500093E-1,1.007805061E1,1.008004024E1
5.918797170E-1,1.395000052E-2,-1.920000017E-1,1.006095028E1,1.006279182E1
5.938671010E-1,1.905000024E-2,-2.089500129E-1,1.008495045E1,1.008713282E1
5.958542570E-1,1.395000052E-2,-1.990500093E-1,1.008000088E1,1.008197566E1
5.978416400E-1,1.695000008E-2,-2.040000111E-1,1.005405045E1,1.005613413E1
5.998290240E-1,1.695000008E-2,-2.179500163E-1,1.007595062E1,1.007832181E1
6.018163200E-1,2.205000073E-2,-1.939500123E-1,1.006395054E1,1.006584340E1
6.038034740E-1,1.695000008E-2,-2.089500129E-1,1.007100010E1,1.007318174E1
6.057907800E-1,1.695000008E-2,-1.920000017E-1,1.006605053E1,1.006789574E1
6.077781640E-1,2.205000073E-2,-1.990500093E-1,1.008300018E1,1.008498883E1
6.097653200E-1,3.600000218E-2,-2.089500129E-1,1.006395054E1,1.006618381E1
6.117523970E-1,1.005000062E-2,-1.890000105E-1,1.005600071E1,1.005778168E1
6.137396690E-1,2.400000021E-2,-1.969500035E-1,1.005600071E1,1.005795782E1
6.157267480E-1,3.795000166E-2,-1.939500123E-1,1.006605053E1,1.006799037E1
6.177138250E-1,2.895000204E-2,-2.040000111E-1,1.005405045E1,1.005616152E1
6.197009770E-1,2.895000204E-2,-2.089500129E-1,1.004700089E1,1.004921514E1
6.216880550E-1,3.795000166E-2,-2.160000056E-1,1.005195045E1,1.005434255E1
6.236753710E-1,3.405000269E-2,-2.059500068E-1,1.008000088E1,1.008216209E1
6.256625270E-1,3.600000218E-2,-1.990500093E-1,1.005600071E1,1.005803496E1
