Id,Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Temp,Humi
122,0.605,-0.02556134,-0.05630436,1.000262,233.1758,-529.2164,-245.1032,-0.1305685,0.6123167,-0.05102732,24.53719,55.27155
123,0.61,-0.02506186,-0.05309907,0.9942707,250.7434,-523.3438,-275.7821,-0.1330845,0.6129273,-0.05216866,24.54216,55.29671
124,0.615,-0.0250512,-0.05460167,0.9971022,244.9608,-546.3918,-222.8122,-0.1365691,0.6123157,-0.05702899,24.54781,55.32019
125,0.62,-0.02358811,-0.05443227,0.9940398,174.036,-579.4492,-225.4148,-0.1333404,0.6091216,-0.05888215,24.55403,55.34136
126,0.625,-0.02384892,-0.05541204,0.997914,249.1761,-528.5563,-235.648,-0.1275675,0.6063136,-0.05402644,24.56071,55.35973
127,0.63,-0.02416568,-0.05491544,0.999511,199.091,-548.3762,-252.5784,-0.1280032,0.6032941,-0.04684273,24.55823,55.35351
128,0.635,-0.02185617,-0.05565199,0.9951078,206.6408,-544.246,-261.6621,-0.1365724,0.6063156,-0.04502479,24.55439,55.34037
129,0.64,-0.02523285,-0.05700408,0.9991028,171.3168,-574.1873,-264.5639,-0.1448521,0.6125018,-0.04935188,24.55104,55.32463
130,0.645,-0.02216523,-0.05457333,0.9932879,187.6748,-580.0448,-195.0707,-0.1470751,0.6183193,-0.05402794,24.54825,55.30675
131,0.65,-0.02764735,-0.05627893,0.9994226,254.0429,-551.0844,-233.3452,-0.1439951,0.6173281,-0.05470267,24.54609,55.28729
132,0.655,-0.02387323,-0.0550383,0.991914,244.7535,-593.8525,-237.9548,-0.141073,0.6153178,-0.05402819,24.54459,55.2669
133,0.66,-0.02778777,-0.05681786,1.001108,245.0573,-511.1676,-200.6943,-0.1402466,0.613431,-0.05484015,24.54378,55.24623
134,0.665,-0.0220775,-0.05520258,0.9941663,176.0308,-564.1193,-194.4023,-0.1410727,0.6123154,-0.05552797,24.54368,55.22603
135,0.67,-0.02621029,-0.05601638,1.002479,254.1314,-451.9691,-288.7392,-0.1409067,0.6074714,-0.05355951,24.54428,55.20701
136,0.675,-0.02172442,-0.05441325,0.9974628,206.613,-573.7099,-288.183,-0.1395717,0.6048133,-0.05102589,24.54558,55.1899
137,0.68,-0.02726826,-0.05473151,1.001498,150.4147,-493.58,-223.3739,-0.1373961,0.6050748,-0.04965024,24.54753,55.17541
138,0.685,-0.02418193,-0.05616517,0.9981137,182.7121,-557.0959,-176.9161,-0.1365714,0.6078139,-0.04802459,24.55011,55.16419
139,0.69,-0.02718305,-0.05459232,0.9990808,158.1986,-492.6227,-218.7002,-0.1377927,0.6063686,-0.04565696,24.55327,55.1568
140,0.695,-0.02651709,-0.05632992,1.000052,175.9711,-570.6742,-182.2906,-0.1410727,0.6048133,-0.04652532,24.55692,55.15369
141,0.7,-0.02786952,-0.05516787,0.9994464,229.0208,-531.6418,-226.1309,-0.1424043,0.6044962,-0.05116374,24.56099,55.15519
142,0.705,-0.02763147,-0.05717076,1.002261,294.6186,-543.088,-259.759,-0.1395717,0.6078151,-0.05402694,24.56537,55.16144
143,0.71,-0.02666438,-0.05427843,1.001355,221.0108,-536.3925,-205.2859,-0.1353143,0.6097629,-0.05140444,24.56133,55.15303
144,0.715,-0.02668087,-0.05638504,1.004551,187.6807,-581.7348,-214.6365,-0.1365719,0.6123167,-0.04802484,24.55496,55.14387
145,0.72,-0.02612935,-0.05592638,1.004593,193.9465,-574.9656,-226.5718,-0.1421039,0.6128479,-0.04787272,24.54899,55.14016
146,0.725,-0.02741682,-0.05711164,1.00315,251.0352,-556.7908,-243.5503,-0.1440728,0.6123161,-0.04802409,24.54353,55.14201
147,0.73,-0.02752975,-0.05649883,1.004048,159.3249,-541.8495,-265.235,-0.1385957,0.6087778,-0.04503961,24.53867,55.14937
148,0.735,-0.02836796,-0.05453984,1.000624,123.8556,-529.8292,-167.3775,-0.1335698,0.6093169,-0.04352451,24.5345,55.16203
149,0.74,-0.02710534,-0.05620791,1.002301,193.6637,-531.8005,-194.313,-0.1346126,0.6137826,-0.04836699,24.53108,55.17962
150,0.745,-0.02733359,-0.05571524,1.002329,192.8435,-571.3047,-255.6611,-0.1380711,0.619819,-0.05552738,24.52846,55.20164
151,0.75,-0.02696217,-0.05661822,1.003399,174.7596,-532.5347,-272.8302,-0.1377414,0.6180683,-0.05566555,24.52666,55.2275
152,0.755,-0.02554986,-0.0550708,1.004931,243.271,-541.0441,-271.8995,-0.1365709,0.6108138,-0.0480243,24.52573,55.25649
153,0.76,-0.02554293,-0.05461324,1.003397,213.366,-524.7855,-167.6279,-0.1375901,0.6016839,-0.04186356,24.52567,55.28785
154,0.765,-0.02641289,-0.05777927,1.005297,230.7482,-578.232,-182.9865,-0.1380701,0.598811,-0.04502517,24.52648,55.32079
155,0.77,-0.02328962,-0.05515867,0.9989625,231.3179,-567.9634,-181.2311,-0.1339593,0.6004056,-0.05294538,24.52813,55.35446
156,0.775,-0.02764252,-0.05815108,1.006228,221.1727,-558.6113,-202.19,-0.1305691,0.606315,-0.05552684,24.53059,55.38804
157,0.78,-0.02469633,-0.05550663,0.9960884,176.6939,-565.7728,-218.7375,-0.1332637,0.6106939,-0.05019537,24.53381,55.42071
158,0.785,-0.0294249,-0.05616395,1.002588,185.9675,-526.3372,-205.4173,-0.1395719,0.6138172,-0.04502409,24.53769,55.45165
159,0.79,-0.02429712,-0.05421156,0.9963985,94.04468,-528.3604,-205.3366,-0.1413374,0.6130007,-0.04581107,24.53439,55.4627
160,0.795,-0.0255432,-0.05580409,1.003605,226.2672,-523.9382,-239.0144,-0.1380706,0.6123164,-0.04952615,24.52826,55.46327
161,0.8,-0.02141264,-0.055409,0.9981909,242.7905,-597.919,-239.7523,-0.1343553,0.6106718,-0.05123987,24.52292,55.46115
162,0.805,-0.02411272,-0.05523445,1.001012,292.5917,-480.5927,-238.8307,-0.1335691,0.6108159,-0.0525277,24.51847,55.45644
163,0.81,-0.02214779,-0.05470705,0.9974733,260.691,-531.6567,-207.6039,-0.1335618,0.6100303,-0.05505802,24.51501,55.44933
164,0.815,-0.02547495,-0.05545016,0.9984449,212.4656,-466.4724,-185.1164,-0.1335691,0.6108159,-0.05552738,24.51259,55.44005
165,0.82,-0.02416447,-0.05697033,0.997901,196.1421,-552.559,-168.2554,-0.1334796,0.6103576,-0.05143386,24.51128,55.42895
166,0.825,-0.02424811,-0.05600852,0.9941128,187.8389,-535.9591,-183.4266,-0.1335683,0.6108162,-0.04802565,24.51109,55.41642
167,0.83,-0.02578096,-0.05584019,0.995913,281.3009,-595.3638,-274.708,-0.1319179,0.6102335,-0.04963379,24.51203,55.40292
168,0.835,-0.02373551,-0.05430695,0.995493,268.5895,-552.9949,-287.5623,-0.1290665,0.6123175,-0.05252636,24.51408,55.38894
169,0.84,-0.02429541,-0.05539623,0.9984844,242.4565,-553.72,-249.3968,-0.1265346,0.6143132,-0.05116433,24.51721,55.37501
170,0.845,-0.02293205,-0.05504141,0.996497,228.5795,-598.3967,-239.5325,-0.1275681,0.6168187,-0.04802511,24.52138,55.36168
171,0.85,-0.02305785,-0.05377506,0.9956665,152.0192,-624.0853,-194.131,-0.1324978,0.6159898,-0.04769321,24.5265,55.34944
172,0.855,-0.02555541,-0.05614382,0.995837,182.7354,-555.0029,-203.2685,-0.139573,0.615318,-0.04952588,24.53249,55.33878
173,0.86,-0.02512573,-0.05595494,0.9938958,159.9541,-565.3292,-245.982,-0.1439123,0.6138241,-0.05027312,24.53923,55.33009
174,0.865,-0.02729197,-0.05726303,0.9972121,225.8481,-552.62,-212.0473,-0.1440745,0.6138167,-0.05102666,24.54658,55.32373
175,0.87,-0.02562626,-0.05455171,0.9928512,277.599,-554.4357,-253.241,-0.1425532,0.6113662,-0.05268169,24.54747,55.30434
176,0.875,-0.02505483,-0.05505569,0.997736,219.4552,-558.5907,-206.1596,-0.1440748,0.6093155,-0.05252602,24.54448,55.2783
177,0.88,-0.02535596,-0.05432428,0.9966133,166.2182,-516.2081,-206.6057,-0.1468326,0.6077906,-0.04888709,24.54203,55.25599
178,0.885,-0.02508261,-0.05528748,0.9995896,171.9631,-555.5997,-176.9631,-0.1455723,0.6108165,-0.04652559,24.54015,55.23791
179,0.89,-0.02486352,-0.05522913,1.000421,205.8984,-577.4058,-290.0925,-0.1379489,0.6133358,-0.04928652,24.53892,55.22444
180,0.895,-0.02600287,-0.05473318,0.9990286,182.7596,-540.6864,-232.8503,-0.1305681,0.6138163,-0.05402764,24.53834,55.21578
181,0.9,-0.02627666,-0.05643791,0.9994624,198.3907,-555.3138,-206.7599,-0.1293867,0.6096141,-0.05493119,24.53846,55.21207
182,0.905,-0.0251101,-0.05593706,0.9961636,282.3353,-552.6169,-242.1806,-0.1335691,0.6078156,-0.05252686,24.53926,55.21325
183,0.91,-0.02874651,-0.05707994,1.00145,225.9227,-534.1073,-220.8482,-0.135719,0.6091416,-0.05085568,24.54073,55.21915
184,0.915,-0.02433514,-0.05428276,0.9971569,198.3808,-552.0292,-223.1817,-0.1335691,0.6138178,-0.05102578,24.54288,55.22952
185,0.92,-0.02795103,-0.05661705,1.002535,292.8583,-492.4196,-192.4096,-0.1309179,0.6151885,-0.05017534,24.54567,55.24401
